accounting;;
airport;Commerces;
amusement_park;Sports Loisir Culture;
aquarium;Sports Loisir Culture;
art_gallery;Sports Loisir Culture;
atm;Banque;
bakery;Boulangerie;
bank;Banque;
bar;Café Hôtel;
beauty_salon;Santé;
bicycle_store;Sports Loisir Culture;
book_store;Sports Loisir Culture;
bowling_alley;Sports Loisir Culture;
bus_station;Transport;
cafe;Café Hôtel;
campground;Sports Loisir Culture;
car_dealer;Transport;
car_rental;Transport;
car_repair;Transport;
car_wash;Transport;
casino;Café Hôtel;
cemetery;;
church;;
city_hall;Sports Loisir Culture;
clothing_store;Mode et Beauté;
convenience_store;Transport;
courthouse;;
dentist;Santé;
department_store;Commerces;
doctor;Santé;
electrician;;
electronics_store;Maison;
embassy;;
establishment;;
finance;;
fire_station;;
florist;Commerces;
food;food;food
funeral_home;;
furniture_store;Maison;
gas_station;Transport;
general_contractor;;
grocery_or_supermarket;Supermarché;
gym;Sports Loisir Culture;
hair_care;Santé;
hardware_store;Sports Loisir Culture;
health;Santé;
hindu_temple;;
home_goods_store;Maison;
hospital;Santé;
insurance_agency;;
jewelry_store;Bijou;
laundry;Commerces;
lawyer;;
library;Sports Loisir Culture;
liquor_store;Boissons;
local_government_office;;
locksmith;Maison;
lodging;Café Hôtel;
meal_delivery;Restaurant;
meal_takeaway;Restaurant;
mosque;;
movie_rental;Sports Loisir Culture;
movie_theater;Sports Loisir Culture;
moving_company;Maison;
museum;Sports Loisir Culture;
night_club;Café Hôtel;
painter;Maison;
park;Sports Loisir Culture;
parking;Transport;
pet_store;Animaux;
pharmacy;Santé;
physiotherapist;Santé;
place_of_worship;;
plumber;Maison;
police;;
point_of_interest;;
post_office;Commerces;
real_estate_agency;;
restaurant;Restaurant;
roofing_contractor;Maison;
rv_park;Café Hôtel;
school;Enseignement;
shoe_store;Vêtements;
shopping_mall;Commerces;
spa;Santé;
stadium;Sports Loisir Culture;
storage;Maison;
store;store;store
subway_station;Transport;
synagogue;;
taxi_stand;Transport;
train_station;Transport;
travel_agency;Sports Loisir Culture;
university;Enseignement;
veterinary_care;Animaux;
zoo;Sports Loisir Culture;
