Épicerie Salée,Légumes,3X1/4 CHAMP EMINCE
Petit-Déjeuner,Epicerie Sucrée,48 DOS ARABICA CRF
Viande,Épicerie Salée,4TR JAMBON SUP AC
Boulangerie,Viande,BAGUETTE CARREFOUR
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,EMMENTAL RAPE 100G
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,200G LE VIEUX PANE
Epicerie Sucrée,"Produits Laitiers, Lait, Oeufs",4X90G TIRAM CRF
Boissons,Boissons,6X1L EAU S ANTONIN
Poissonnerie,Épicerie Salée,AILE DE RAIE
Boulangerie,Epicerie Sucrée,BAGUETTE CAMPAGNAR
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,CREME UHT30%CRF X2
Produits Surgelés,Petit-Déjeuner,MAGNUM BLANC/AMAND
Epicerie Sucrée,Viande,MINI BEIGNET POMME
Poissonnerie,Viande,PAV SAUMON A/P EQC
Produits Surgelés,Épicerie Salée,POELEE LA POTAGERE
Fruits,Fruits,RAISIN BLC DANLAS
Poissonnerie,Poissonnerie,SAUMON FUME ECOSSE
Hygiène et Beauté,Epicerie Sucrée,50 BATONNETS CARF
Hygiène et Beauté,Epicerie Sucrée,SERUM PHYSIOLOGIQ
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,GERVAIS YOGHURT FR
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,GERVAIS YOGHURT FR
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,GERVAIS YOGHURT FR
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,GERVAIS YOGHURT FR
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,SLA PERLE 125GX4 C
Boissons,Boissons,1L PJ ORANGE MEDIT
Boissons,Boissons,1L PJ ORANGE MEDIT
Légumes,Épicerie Salée,M/BIO AUBERGINE
Légumes,Épicerie Salée,BIO'COURGETTE ROND
Boissons,Boissons,PERRIER 6X1L
Boissons,Boissons,VITTEL 6X1 5L
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,VIVA BK1L 
Epicerie Sucrée,Épicerie Salée,1KG FARIN/BLE FLUI
Loisirs,Epicerie Sucrée,VOITURE DISNEY
Viande,Épicerie Salée,2 TR JAMBON BIO AC
Boulangerie,Boulangerie,PAIN CEREALE MBIO
Hygiène et Beauté,Épicerie Salée,MPX MCH BTE SPE
Hygiène et Beauté,Épicerie Salée,MPX MCH BTE SPE
Boissons,Epicerie Sucrée,LONGUE CONSERVATIO
Fruits,Épicerie Salée,RAISIN BLANC
Hygiène et Beauté,Epicerie Sucrée,MBIO HUILE ARGAN
"Produits Laitiers, Lait, Oeufs",Épicerie Salée,LES2VACH FLAN BIO
"Produits Laitiers, Lait, Oeufs",Épicerie Salée,10 OEUFS MONOP BIO
Fruits,Épicerie Salée,CITRON JAUNE
Epicerie Sucrée,Epicerie Sucrée,DEC150SMIL40EVISIT
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,200G LE VIEUX PANE
Epicerie Sucrée,"Produits Laitiers, Lait, Oeufs",4X90G TIRAM CRF
Boissons,Boissons,6X1L EAU S ANTONIN
Poissonnerie,Épicerie Salée,AILE DE RAIE
Boulangerie,Epicerie Sucrée,BAGUETTE CAMPAGNAR
"Produits Laitiers, Lait, Oeufs","Produits Laitiers, Lait, Oeufs",NATURNES BOL PLASTIQUE PUREE 2 LEG PLT 200g
Produits Surgelés,Petit-Déjeuner,MAGNUM BLANC/AMAND
Epicerie Sucrée,Viande,MINI BEIGNET POMME
Poissonnerie,Viande,PAV SAUMON A/P EQC
