;purchease_cat;rmw_cat;description
0;Produits Laitiers, Lait, Oeufs;BOISSONS;MIMOLETTE 40%
1;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;ROQUEFORT AOP 52 %
2;Produits Laitiers, Lait, Oeufs;BOISSONS;YAOURT BRASSE PULPE
3;Épicerie Salée;BOISSONS;LUSTUCRU RAVIOLI
4;Viande;BOISSONS;CERVELAS
5;Produits Laitiers, Lait, Oeufs;BOISSONS;CHEVRE BUCHETTE 45%
6;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREME DESSERT
7;Produits Laitiers, Lait, Oeufs;BOISSONS;CREME FRAICHE
8;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;FROMAGE BLEU 55% MG
9;Épicerie Salée;BOISSONS;SAUCES POIVRE X4
10;Épicerie Salée;LEGUMES;AIL SEMOULE
11;Plats préparés;PLAT_PREPARE;TABOULE AUX TOMATES
12;Epicerie Sucrée;BOISSONS;COOKIES CHOCOLAT
13;Epicerie Sucrée;EPICERIE_SALEE;GAUFRES AUX OEUFS
14;Produits Laitiers, Lait, Oeufs;BOISSONS;CREME FRAICHE
15;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;FROMAGE BLEU 55% MG
16;Épicerie Salée;BOISSONS;SAUCES POIVRE X4
17;Épicerie Salée;LEGUMES;AIL SEMOULE
18;Plats préparés;PLAT_PREPARE;TABOULE AUX TOMATES
19;Epicerie Sucrée;BOISSONS;COOKIES CHOCOLAT
20;Epicerie Sucrée;EPICERIE_SALEE;GAUFRES AUX OEUFS
21;Plats préparés;PLAT_PREPARE;TABOULE AUX TOMATES
22;Epicerie Sucrée;BOISSONS;COOKIES CHOCOLAT
23;Epicerie Sucrée;EPICERIE_SALEE;GAUFRES AUX OEUFS
24;Plats préparés;PLAT_PREPARE;TABOULE AUX TOMATES
25;Epicerie Sucrée;BOISSONS;COOKIES CHOCOLAT
26;Epicerie Sucrée;EPICERIE_SALEE;GAUFRS AUX OEUFS
27;Plats préparés;PLAT_PREPARE;TABOULE AUX TOMATES
28;Epicerie Sucrée;BOISSONS;COOKIES CHOCOLAT
29;Epicerie Sucrée;EPICERIE_SALEE;GAUFRES AUX OEUFS
30;Plats préparés;PLAT_PREPARE;TABOULE AUX TOMATES
31;Epicerie Sucrée;BOISSONS;COOKIES CHOCOLAT
